State,City,FAA,IATA,ICAO,Airport
WYOMING,Gillette,GCC,GCC,KGCC,Gillette-Campbell County Airport
WYOMING,Jackson,JAC,JAC,KJAC,Jackson Hole Airport
WYOMING,Riverton,RIW,RIW,KRIW,Riverton Regional Airport
WYOMING,Rock Springs,RKS,RKS,KRKS,Rock Springs – Sweetwater County Airport
WYOMING,Sheridan,SHR,SHR,KSHR,Sheridan County Airport
AMERICAN SAMOA,"Pago Pago, Tutuila",PPG,PPG,NSTU,Pago Pago International Airport
GUAM,Agana / Tamuning,GUM,GUM,PGUM,Antonio B. Won Pat International Airport
NORTHERN MARIANAS,"Obyan, Saipan Island",GSN,SPN,PGSN,Saipan International Airport
NORTHERN MARIANAS,Rota Island,GRO,ROP,PGRO,Rota International Airport
PUERTO RICO,Aguadilla,BQN,BQN,TJBQ,Rafael Hernández International Airport
PUERTO RICO,Ceiba,RVR,NRR,TJRV,José Aponte de la Torre Airport
PUERTO RICO,Ponce,PSE,PSE,TJPS,Mercedita International Airport
PUERTO RICO,San Juan / Carolina,SJU,SJU,TJSJ,Luis Muñoz Marín International Airport
PUERTO RICO,San Juan / Miramar,SIG,SIG,TJIG,Fernando Luis Ribas Dominicci Airport
PUERTO RICO,Vieques,VQS,VQS,TJVQ,Antonio Rivera Rodríguez Airport
U.S. VIRGIN ISLANDS,"Charlotte Amalie, St. Thomas",STT,STT,TIST,Cyril E. King Airport
U.S. VIRGIN ISLANDS,"Christiansted, St. Croix",STX,STX,TISX,Henry E. Rohlsen Airport
